City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,evinayong,1.4368,10.5512,19.52,99,100,0.64,GQ,1730346376
162,hawaiian paradise park,19.5933,-154.9731,23.83,97,100,4.12,US,1730346378
163,qaqortoq,60.7167,-46.0333,-11.35,57,0,3.41,GL,1730346378
164,bagnolo mella,45.4291,10.1844,11.12,100,0,1.03,IT,1730346378
165,sorsk,54.0033,90.2467,0.01,68,89,6.61,RU,1730346173
166,sawakin,19.1059,37.3321,29.65,65,43,0.88,SD,1730346379
167,dzhalagash,45.0833,64.6667,9.83,55,95,7.29,KZ,1730346379
168,colonia,50.9333,6.95,12.71,89,100,1.03,DE,1730346379
169,kapa'a,22.0752,-159.319,26.18,86,20,7.72,US,1730346380
170,krasnozerskoye,53.9828,79.2374,0.66,82,100,2.18,RU,1730346380
171,ambon,-3.6954,128.1814,32.08,70,40,3.6,ID,1730346381
172,vytegra,61.0064,36.4481,1.66,96,100,7.97,RU,1730346381
173,papatowai,-46.5619,169.4708,12.07,79,100,4.12,NZ,1730346381
174,morehead,37.2711,-87.1764,20.86,85,0,3.6,US,1730346382
175,egilsstadir,65.2653,-14.3948,0.95,69,0,4.63,IS,1730346382
176,flying fish cove,-10.4217,105.6791,27.82,78,100,4.63,CX,1730346382
177,arapgir,39.0412,38.4952,7.84,41,9,2.12,TR,1730346382
178,baruun-urt,46.6806,113.2792,5.89,62,39,2.26,MN,1730346383
179,n'zeto,-7.2312,12.8666,24.46,82,95,2.57,AO,1730346383
180,long jetty,-33.3667,151.4833,24.36,71,97,9.39,AU,1730346203
181,reyes,-14.3167,-67.3833,23.92,85,80,0.7,BO,1730346383
182,iskateley,67.6803,53.1512,0.39,87,100,8.59,RU,1730346384
183,wagar,16.1525,36.2032,27.85,56,2,2.44,SD,1730346384
184,padang,-0.9492,100.3543,29.03,68,44,2.99,ID,1730346281
185,kuala terengganu,5.3302,103.1408,29.97,74,20,2.24,MY,1730346384
186,kennett,36.2362,-90.0556,20.97,84,0,5.66,US,1730346385
187,galliano,29.4422,-90.2992,25.0,83,75,2.57,US,1730346385
188,tieli,46.95,128.05,11.93,44,78,4.34,CN,1730346386
189,polyarnyy,69.1989,33.4478,0.39,77,96,9.1,RU,1730346386
190,ceres,37.5949,-120.9577,13.97,58,75,0.0,US,1730346386
191,yarmouth,41.7057,-70.2286,16.19,94,100,2.68,US,1730346386
192,nemuro,43.3236,145.575,11.5,58,6,8.39,JP,1730346387
193,hood river,45.7054,-121.5215,5.28,92,100,1.34,US,1730346387
194,whitecourt,54.1502,-115.6855,0.58,86,20,3.6,CA,1730346387
195,haiku-pauwela,20.9219,-156.3051,25.68,86,21,10.73,US,1730346387
196,susuman,62.7833,148.1667,-13.55,86,100,2.15,RU,1730346388
197,chul'man,56.8479,124.9104,-7.34,83,100,0.43,RU,1730346388
198,lucas,41.6501,-83.6666,20.5,64,0,4.63,US,1730346388
199,campbell river,50.0163,-125.2446,8.03,93,20,1.54,CA,1730346126
200,dunedin,-45.8742,170.5036,12.11,86,100,2.24,NZ,1730346389
201,nar'yan-mar,67.6713,53.087,0.29,89,100,8.64,RU,1730346389
202,port douglas,-16.4833,145.4667,26.55,58,4,3.44,AU,1730346389
203,castillos,-34.1667,-53.8333,16.79,97,34,3.36,UY,1730346389
204,mil'kovo,55.6078,37.7956,3.13,46,38,7.14,RU,1730346391
205,tobol,52.6844,62.5794,0.77,91,80,2.38,KZ,1730346391
206,turpan,42.9333,89.1667,14.47,38,38,0.78,CN,1730346392
207,pechora,65.1472,57.2244,1.6,93,100,7.93,RU,1730346392
208,ilulissat,69.2167,-51.1,-7.99,35,100,10.29,GL,1730346392
209,dharmabad,18.9,77.85,28.29,62,2,2.78,IN,1730346392
210,hadibu,12.65,54.0333,25.98,66,3,2.86,YE,1730346392
211,neya,58.2972,43.8681,2.84,86,100,5.16,RU,1730346393
212,bangassou,4.7413,22.8184,21.21,97,94,0.51,CF,1730346393
213,crane,31.3974,-102.3501,19.42,18,6,3.7,US,1730346393
214,chengde,40.9725,117.9361,14.88,59,98,1.81,CN,1730346394
215,codrington,-38.2667,141.9667,13.95,63,99,6.24,AU,1730346394
216,pisco,-13.7,-76.2167,17.03,82,0,1.03,PE,1730346394
217,hamilton,39.1834,-84.5333,19.99,73,0,4.12,US,1730346379
218,benjamin hill,30.1667,-111.1,16.13,21,0,2.72,MX,1730346395
219,zaozersk,69.4005,32.4476,-1.3,78,58,8.34,RU,1730346395
220,bintulu,3.1667,113.0333,29.23,79,20,1.03,MY,1730346095
221,kavaratti,10.5669,72.642,27.47,66,24,0.99,IN,1730346395
222,ribeira grande,38.5167,-28.7,20.99,87,20,9.39,PT,1730346396
223,laojunmiao,39.8333,97.7333,6.85,41,5,1.73,CN,1730346396
224,dakhla,23.6848,-15.958,19.46,76,100,7.52,EH,1730346396
225,beira,-19.8436,34.8389,27.05,74,75,4.12,MZ,1730346397
226,fort bragg,35.139,-79.006,18.28,90,0,0.89,US,1730346357
227,ghadamis,30.1337,9.5007,24.3,25,98,3.56,LY,1730346397
228,dedovichi,57.5517,29.9502,3.01,78,7,6.06,RU,1730346398
229,bamboo flat,11.7,92.7167,30.05,74,20,1.03,IN,1730346398
230,hornsea,53.9104,-0.1681,12.21,87,100,4.12,GB,1730346398
231,novo aripuana,-5.1206,-60.3797,26.79,50,95,1.43,BR,1730346398
232,ambodifotatra,-16.9833,49.85,23.03,94,40,1.03,MG,1730346399
233,talnakh,69.4865,88.3972,-13.07,94,100,3.69,RU,1730346399
234,mukalla,14.5425,49.1242,27.21,46,5,1.56,YE,1730346240
235,mpika,-11.8343,31.4529,17.32,87,63,1.28,ZM,1730346399
236,newman,37.3138,-121.0208,13.36,46,7,2.66,US,1730346400
237,sao joao da barra,-21.6403,-41.0511,20.96,90,100,3.83,BR,1730346400
238,tara,56.8944,74.371,0.36,77,72,1.7,RU,1730346400
239,kirakira,-10.4544,161.9205,27.97,80,54,1.59,SB,1730346401
240,saipan,15.1355,145.701,32.39,62,20,7.72,MP,1730346401
241,eureka,40.8021,-124.1637,9.23,96,70,2.38,US,1730346401
242,mao,39.8885,4.2658,21.31,94,75,7.72,ES,1730346402
243,saynshand,44.8824,110.1163,6.36,42,78,6.78,MN,1730346169
244,pandan,14.0453,124.1694,29.84,73,100,6.34,PH,1730346403
245,alofi,-19.0595,-169.9187,27.94,74,40,4.12,NU,1730346404
246,mumford,5.2618,-0.759,24.87,89,53,1.87,GH,1730346404
247,luderitz,-26.6481,15.1594,18.74,56,0,3.7,NA,1730346404
248,shagonar,51.5333,92.8,1.2,54,96,0.12,RU,1730346404
249,talcahuano,-36.7167,-73.1167,10.82,93,0,1.03,CL,1730346405
250,bodo,67.28,14.405,3.02,78,75,9.26,NO,1730346405
251,balfour,-26.6633,28.5902,11.15,90,8,2.26,ZA,1730346405
